,car_ID,etat_de_route,carburant,turbo,nombre_portes,type_vehicule,roues_motrices,emplacement_moteur,empattement,longueur_voiture,largeur_voiture,hauteur_voiture,poids_vehicule,type_moteur,nombre_cylindres,moteur_cc3,systeme_carburant,taux_alésage,course,taux_compression,chevaux,tour_moteur,consommation_ville,consommation_autoroute,prix,marque,modele
10,11,2,gas,standard,2,berline,arriere,devant,2.57,4.49,1.65,1.38,1.2,ACT,4,1770.0,injection multipoint multipoint port unique,3.5,2.8,8.8,101,5800,10.226721,8.110847689655172,16430.0,bmw,320i
11,12,0,gas,standard,4,berline,arriere,devant,2.57,4.49,1.65,1.38,1.2,ACT,4,1770.0,injection multipoint multipoint port unique,3.5,2.8,8.8,101,5800,10.226721,8.110847689655172,16925.0,bmw,320i
12,13,0,gas,standard,2,berline,arriere,devant,2.57,4.49,1.65,1.38,1.36,ACT,6,2687.0,injection multipoint multipoint port unique,3.31,3.19,9.0,121,4250,11.20069442857143,8.400520821428572,20970.0,bmw,x1
13,14,0,gas,standard,4,berline,arriere,devant,2.57,4.49,1.65,1.38,1.38,ACT,6,2687.0,injection multipoint multipoint port unique,3.31,3.19,9.0,121,4250,11.20069442857143,8.400520821428572,21105.0,bmw,x3
14,15,1,gas,standard,4,berline,arriere,devant,2.63,4.8,1.7,1.41,1.53,ACT,6,2687.0,injection multipoint multipoint port unique,3.31,3.19,9.0,121,4250,11.76072915,9.40858332,24565.0,bmw,z4
15,16,0,gas,standard,4,berline,arriere,devant,2.63,4.8,1.7,1.41,1.62,ACT,6,3425.0,injection multipoint multipoint port unique,3.62,3.39,8.0,182,5400,14.7009114375,10.691571954545454,30760.0,bmw,x4
16,17,0,gas,standard,2,berline,arriere,devant,2.63,4.92,1.72,1.36,1.69,ACT,6,3425.0,injection multipoint multipoint port unique,3.62,3.39,8.0,182,5400,14.7009114375,10.691571954545454,41315.0,bmw,x5
17,18,0,gas,standard,4,berline,arriere,devant,2.79,5.0,1.8,1.43,1.75,ACT,6,3425.0,injection multipoint multipoint port unique,3.62,3.39,8.0,182,5400,15.680972200000001,11.76072915,36880.0,bmw,x3
18,19,2,gas,standard,2,hayon,avant,devant,2.25,3.58,1.53,1.35,0.74,ligne des cylindres,3,1000.0,carburateur 2 corps,2.91,3.03,9.5,48,5100,5.004565595744681,4.438011,5151.0,chevrolet,impala
19,20,1,gas,standard,2,hayon,avant,devant,2.4,3.96,1.62,1.32,0.94,ACT,4,1475.0,carburateur 2 corps,3.03,3.11,9.6,70,5400,6.189857447368421,5.470106581395349,6295.0,chevrolet,monte carlo
20,21,0,gas,standard,4,berline,avant,devant,2.4,4.03,1.62,1.32,0.95,ACT,4,1475.0,carburateur 2 corps,3.03,3.11,9.6,70,5400,6.189857447368421,5.470106581395349,6575.0,chevrolet,vega 2300
21,22,1,gas,standard,2,hayon,avant,devant,2.38,4.0,1.62,1.29,0.94,ACT,4,1475.0,carburateur 2 corps,2.97,3.23,9.41,68,5500,6.357150891891892,5.736941048780488,5572.0,dodge,rampage
22,23,1,gas,standard,2,hayon,avant,devant,2.38,4.0,1.62,1.29,0.94,ACT,4,1475.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,7.587567193548387,6.189857447368421,6377.0,dodge,challenger se
23,24,1,gas,turbo,2,hayon,avant,devant,2.38,4.0,1.62,1.29,1.06,ACT,4,1606.0,injection multipoint multipoint port unique,3.03,3.39,7.6,102,5500,9.800607625,7.840486100000001,7957.0,dodge,d200
24,25,1,gas,standard,4,hayon,avant,devant,2.38,4.0,1.62,1.29,0.98,ACT,4,1475.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,7.587567193548387,6.189857447368421,6229.0,dodge,monaco (sw)
25,26,1,gas,standard,4,berline,avant,devant,2.38,4.0,1.62,1.29,0.99,ACT,4,1475.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,7.587567193548387,6.189857447368421,6692.0,dodge,colt hardtop
26,27,1,gas,standard,4,berline,avant,devant,2.38,4.0,1.62,1.29,0.99,ACT,4,1475.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,7.587567193548387,6.189857447368421,7609.0,dodge,colt (sw)
27,28,1,gas,turbo,2,berline,avant,devant,2.38,4.0,1.62,1.29,1.1,ACT,4,1606.0,injection multipoint multipoint port unique,3.03,3.39,7.6,102,5500,9.800607625,7.840486100000001,8558.0,dodge,coronet custom
28,29,-1,gas,standard,4,break,avant,devant,2.62,4.43,1.64,1.52,1.27,ACT,4,1999.0,carburateur 2 corps,3.34,3.46,8.5,88,5000,9.800607625,7.840486100000001,8921.0,dodge,dart custom
29,30,3,gas,turbo,2,hayon,avant,devant,2.44,4.4,1.68,1.28,1.41,ACT,4,2556.0,injection carburant multipoint,3.6,3.9,7.0,145,5000,12.379714894736843,9.800607625,12964.0,dodge,coronet custom (sw)
30,31,2,gas,standard,2,hayon,avant,devant,2.2,3.67,1.62,1.29,0.86,ACT,4,1508.0,carburateur 1 corps,2.91,3.41,9.6,58,4800,4.800297612244898,4.355825611111111,6479.0,honda,civic
31,32,2,gas,standard,2,hayon,avant,devant,2.2,3.67,1.62,1.29,0.91,ACT,4,1508.0,carburateur 1 corps,2.91,3.41,9.2,76,6000,7.587567193548387,6.189857447368421,6855.0,honda,civic cvcc
32,33,1,gas,standard,2,hayon,avant,devant,2.38,3.81,1.63,1.34,0.92,ACT,4,1295.0,carburateur 1 corps,2.91,3.07,10.1,60,5500,6.189857447368421,5.600347214285715,5399.0,honda,civic
33,34,1,gas,standard,2,hayon,avant,devant,2.38,3.81,1.63,1.34,0.97,ACT,4,1508.0,carburateur 1 corps,2.91,3.41,9.2,76,6000,7.840486100000001,6.9180759705882355,6529.0,honda,accord cvcc
34,35,1,gas,standard,2,hayon,avant,devant,2.38,3.81,1.63,1.34,0.98,ACT,4,1508.0,carburateur 1 corps,2.91,3.41,9.2,76,6000,7.840486100000001,6.9180759705882355,7129.0,honda,civic cvcc
35,36,0,gas,standard,4,berline,avant,devant,2.45,4.15,1.63,1.38,1.0,ACT,4,1508.0,carburateur 1 corps,2.91,3.41,9.2,76,6000,7.840486100000001,6.9180759705882355,7295.0,honda,accord lx
36,37,0,gas,standard,4,break,avant,devant,2.45,3.99,1.62,1.48,1.01,ACT,4,1508.0,carburateur 1 corps,2.92,3.41,9.2,76,6000,7.840486100000001,6.9180759705882355,7295.0,honda,civic 1500 gl
37,38,0,gas,standard,2,hayon,avant,devant,2.45,4.25,1.66,1.35,1.12,ACT,4,1803.0,carburateur 1 corps,3.15,3.58,9.0,86,5800,8.711651222222223,7.127714636363637,7895.0,honda,accord
38,39,0,gas,standard,2,hayon,avant,devant,2.45,4.25,1.66,1.35,1.14,ACT,4,1803.0,carburateur 1 corps,3.15,3.58,9.0,86,5800,8.711651222222223,7.127714636363637,9095.0,honda,civic 1300
39,40,0,gas,standard,4,berline,avant,devant,2.45,4.46,1.66,1.37,1.15,ACT,4,1803.0,carburateur 1 corps,3.15,3.58,9.0,86,5800,8.711651222222223,7.127714636363637,8845.0,honda,prelude
40,41,0,gas,standard,4,berline,avant,devant,2.45,4.46,1.59,1.37,1.19,ACT,4,1803.0,carburateur 1 corps,3.15,3.58,9.0,86,5800,8.711651222222223,7.127714636363637,10295.0,honda,accord
41,42,0,gas,standard,4,berline,avant,devant,2.45,4.46,1.66,1.37,1.23,ACT,4,1803.0,injection multipoint multipoint port unique,3.15,3.58,9.0,101,5800,9.800607625,8.400520821428572,12945.0,honda,civic
42,43,1,gas,standard,2,berline,avant,devant,2.45,4.3,1.68,1.3,1.15,ACT,4,1803.0,carburateur 2 corps,3.15,3.58,9.1,100,5500,9.40858332,7.587567193548387,10345.0,honda,civic (auto)
43,44,0,gas,standard,4,berline,arriere,devant,2.4,4.34,1.57,1.36,1.17,ACT,4,1819.0,carburateur 2 corps,3.31,3.23,8.5,78,4800,9.800607625,8.110847689655172,6785.0,isuzu,MU-X
44,45,1,gas,standard,2,berline,avant,devant,2.4,3.96,1.62,1.32,0.94,ACT,4,1475.0,carburateur 2 corps,3.03,3.11,9.6,70,5400,6.189857447368421,5.470106581395349,8916.5,isuzu,D-Max 
45,46,0,gas,standard,4,berline,avant,devant,2.4,3.96,1.62,1.32,0.95,ACT,4,1475.0,carburateur 2 corps,3.03,3.11,9.6,70,5400,6.189857447368421,5.470106581395349,8916.5,isuzu,D-Max V-Cross
46,47,2,gas,standard,2,hayon,arriere,devant,2.44,4.38,1.66,1.31,1.37,ACT,4,1950.0,injection monopoint,3.43,3.23,9.2,90,5000,9.800607625,8.110847689655172,11048.0,isuzu,D-Max 
47,48,0,gas,standard,4,berline,arriere,devant,2.87,5.07,1.77,1.34,2.03,double ACT,6,4228.0,injection multipoint multipoint port unique,3.63,4.17,8.1,176,4750,15.680972200000001,12.379714894736843,32250.0,jaguar,xj
48,49,0,gas,standard,4,berline,arriere,devant,2.87,5.07,1.77,1.34,2.03,double ACT,6,4228.0,injection multipoint multipoint port unique,3.63,4.17,8.1,176,4750,15.680972200000001,12.379714894736843,35550.0,jaguar,xf
49,50,0,gas,standard,2,berline,arriere,devant,2.59,4.87,1.79,1.21,1.98,soupapes en tête à manchon,12,5342.0,injection multipoint multipoint port unique,3.54,2.76,11.5,262,5000,18.093429461538463,13.836151941176471,36000.0,jaguar,xk
50,51,1,gas,standard,2,hayon,avant,devant,2.36,4.04,1.63,1.37,0.94,ACT,4,1491.0,carburateur 2 corps,3.03,3.15,9.0,68,5000,7.840486100000001,7.587567193548387,5195.0,mazda,rx3
51,52,1,gas,standard,2,hayon,avant,devant,2.36,4.04,1.63,1.37,0.95,ACT,4,1491.0,carburateur 2 corps,3.03,3.15,9.0,68,5000,7.587567193548387,6.189857447368421,6095.0,mazda,glc deluxe
52,53,1,gas,standard,2,hayon,avant,devant,2.36,4.04,1.63,1.37,0.95,ACT,4,1491.0,carburateur 2 corps,3.03,3.15,9.0,68,5000,7.587567193548387,6.189857447368421,6795.0,mazda,rx2 coupe
53,54,1,gas,standard,4,berline,avant,devant,2.36,4.24,1.63,1.37,0.97,ACT,4,1491.0,carburateur 2 corps,3.03,3.15,9.0,68,5000,7.587567193548387,6.189857447368421,6695.0,mazda,rx-4
54,55,1,gas,standard,4,berline,avant,devant,2.36,4.24,1.63,1.37,0.98,ACT,4,1491.0,carburateur 2 corps,3.08,3.15,9.0,68,5000,7.587567193548387,6.189857447368421,7395.0,mazda,glc deluxe
55,56,3,gas,standard,2,hayon,arriere,devant,2.42,4.29,1.67,1.26,1.19,moteur rotatif,2,1147.0,carburateur 4 corps,3.33,3.255,9.4,101,6000,13.836151941176471,10.226721,10945.0,mazda,626
56,57,3,gas,standard,2,hayon,arriere,devant,2.42,4.29,1.67,1.26,1.19,moteur rotatif,2,1147.0,carburateur 4 corps,3.33,3.255,9.4,101,6000,13.836151941176471,10.226721,11845.0,mazda,glc
57,58,3,gas,standard,2,hayon,arriere,devant,2.42,4.29,1.67,1.26,1.19,moteur rotatif,2,1147.0,carburateur 4 corps,3.33,3.255,9.4,101,6000,13.836151941176471,10.226721,13645.0,mazda,rx-7 gs
58,59,3,gas,standard,2,hayon,arriere,devant,2.42,4.29,1.67,1.26,1.25,moteur rotatif,2,1311.0,injection multipoint multipoint port unique,3.33,3.255,9.4,135,6000,14.7009114375,10.226721,15645.0,mazda,glc 4
59,60,1,gas,standard,2,hayon,avant,devant,2.51,4.52,1.69,1.36,1.19,ACT,4,1999.0,carburateur 2 corps,3.39,3.39,8.6,84,4800,9.046714730769231,7.35045571875,8845.0,mazda,626
60,61,0,gas,standard,4,berline,avant,devant,2.51,4.52,1.69,1.41,1.2,ACT,4,1999.0,carburateur 2 corps,3.39,3.39,8.6,84,4800,9.046714730769231,7.35045571875,8495.0,mazda,glc custom l
61,62,1,gas,standard,2,hayon,avant,devant,2.51,4.52,1.69,1.36,1.19,ACT,4,1999.0,carburateur 2 corps,3.39,3.39,8.6,84,4800,9.046714730769231,7.35045571875,10595.0,mazda,glc custom
62,63,0,gas,standard,4,berline,avant,devant,2.51,4.52,1.69,1.41,1.2,ACT,4,1999.0,carburateur 2 corps,3.39,3.39,8.6,84,4800,9.046714730769231,7.35045571875,10245.0,mazda,rx-4
63,64,0,diesel,standard,4,berline,avant,devant,2.51,4.52,1.69,1.41,1.22,ACT,4,1999.0,injection indirecte,3.39,3.39,22.7,64,4650,6.533738416666667,5.600347214285715,10795.0,mazda,glc deluxe
64,65,0,gas,standard,4,hayon,avant,devant,2.51,4.52,1.69,1.41,1.21,ACT,4,1999.0,carburateur 2 corps,3.39,3.39,8.6,84,4800,9.046714730769231,7.35045571875,11245.0,mazda,626
65,66,0,gas,standard,4,berline,arriere,devant,2.66,4.45,1.68,1.38,1.34,ACT,4,2294.0,injection multipoint multipoint port unique,3.76,3.16,8.0,120,5000,12.379714894736843,8.711651222222223,18280.0,mazda,glc
66,67,0,diesel,standard,4,berline,arriere,devant,2.66,4.45,1.68,1.38,1.35,ACT,4,2196.0,injection indirecte,3.43,3.64,22.0,72,4200,7.587567193548387,6.031143153846154,18344.0,mazda,rx-7 gs
67,68,-1,diesel,turbo,4,berline,arriere,devant,2.79,4.85,1.79,1.44,1.76,ACT,5,2999.0,injection indirecte,3.58,3.64,21.5,123,4350,10.691571954545454,9.40858332,25552.0,buick,electra 225 custom
68,69,-1,diesel,turbo,4,break,arriere,devant,2.79,4.85,1.79,1.49,1.88,ACT,5,2999.0,injection indirecte,3.58,3.64,21.5,123,4350,10.691571954545454,9.40858332,28248.0,buick,century luxus (sw)
69,70,0,diesel,turbo,2,coupe,arriere,devant,2.71,4.76,1.79,1.39,1.75,ACT,5,2999.0,injection indirecte,3.58,3.64,21.5,123,4350,10.691571954545454,9.40858332,28176.0,buick,century
70,71,-1,diesel,turbo,4,berline,arriere,devant,2.94,5.15,1.82,1.43,1.88,ACT,5,2999.0,injection indirecte,3.58,3.64,21.5,123,4350,10.691571954545454,9.40858332,31600.0,buick,skyhawk
71,72,-1,gas,standard,4,berline,arriere,devant,2.94,5.15,1.82,1.44,1.87,soupapes en tête à manchon,8,3835.0,injection multipoint multipoint port unique,3.46,3.1,8.3,155,4750,14.7009114375,13.067476833333334,34184.0,buick,opel isuzu deluxe
72,73,3,gas,standard,2,decapotable,arriere,devant,2.45,4.58,1.79,1.29,1.84,soupapes en tête à manchon,8,3835.0,injection multipoint multipoint port unique,3.46,3.1,8.3,155,4750,14.7009114375,13.067476833333334,35056.0,buick,skylark
73,74,0,gas,standard,4,berline,arriere,devant,3.07,5.29,1.82,1.44,1.95,soupapes en tête à manchon,8,5047.0,injection multipoint multipoint port unique,3.8,3.35,8.0,184,4500,16.801041642857143,14.7009114375,40960.0,buick,century special
74,75,1,gas,standard,2,coupe,arriere,devant,2.84,5.06,1.83,1.41,1.86,soupapes en tête à manchon,8,4982.0,injection multipoint multipoint port unique,3.8,3.35,8.0,184,4500,16.801041642857143,14.7009114375,45400.0,buick,regal sport coupe (turbo)
75,76,1,gas,turbo,2,hayon,arriere,devant,2.61,4.53,1.73,1.39,1.46,ACT,4,2294.0,injection multipoint multipoint port unique,3.78,3.12,8.0,175,5000,12.379714894736843,9.800607625,16503.0,mercury,cougar
76,77,2,gas,standard,2,hayon,avant,devant,2.38,4.0,1.64,1.29,0.96,ACT,4,1508.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,6.357150891891892,5.736941048780488,5389.0,mitsubishi,mirage
77,78,2,gas,standard,2,hayon,avant,devant,2.38,4.0,1.64,1.29,0.97,ACT,4,1508.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,7.587567193548387,6.189857447368421,6189.0,mitsubishi,lancer
78,79,2,gas,standard,2,hayon,avant,devant,2.38,4.0,1.64,1.29,1.0,ACT,4,1508.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,7.587567193548387,6.189857447368421,6669.0,mitsubishi,outlander
79,80,1,gas,turbo,2,hayon,avant,devant,2.36,4.0,1.62,1.29,1.07,ACT,4,1606.0,injection D monopoint,3.03,3.39,7.6,102,5500,9.800607625,7.840486100000001,7689.0,mitsubishi,g4
80,81,3,gas,turbo,2,hayon,avant,devant,2.45,4.39,1.66,1.25,1.18,ACT,4,1803.0,injection D monopoint,3.17,3.46,7.5,116,5500,10.226721,7.840486100000001,9959.0,mitsubishi,mirage g4
81,82,3,gas,standard,2,hayon,avant,devant,2.45,4.39,1.66,1.25,1.16,ACT,4,1999.0,carburateur 2 corps,3.35,3.46,8.5,88,5000,9.40858332,7.35045571875,8499.0,mitsubishi,g4
82,83,3,gas,turbo,2,hayon,avant,devant,2.44,4.4,1.68,1.28,1.42,ACT,4,2556.0,injection D monopoint,3.58,3.86,7.0,145,5000,12.379714894736843,9.800607625,12629.0,mitsubishi,outlander
83,84,3,gas,turbo,2,hayon,avant,devant,2.44,4.4,1.68,1.28,1.46,ACT,4,2556.0,injection D monopoint,3.59,3.86,7.0,145,5000,12.379714894736843,9.800607625,14869.0,mitsubishi,g4
84,85,3,gas,turbo,2,hayon,avant,devant,2.44,4.4,1.68,1.28,1.46,ACT,4,2556.0,injection D monopoint,3.59,3.86,7.0,145,5000,12.379714894736843,9.800607625,14489.0,mitsubishi,mirage g4
85,86,1,gas,standard,4,berline,avant,devant,2.45,4.38,1.66,1.31,1.18,ACT,4,1999.0,carburateur 2 corps,3.35,3.46,8.5,88,5000,9.40858332,7.35045571875,6989.0,mitsubishi,montero
86,87,1,gas,standard,4,berline,avant,devant,2.45,4.38,1.66,1.31,1.2,ACT,4,1999.0,carburateur 2 corps,3.35,3.46,8.5,88,5000,9.40858332,7.35045571875,8189.0,mitsubishi,pajero
87,88,1,gas,turbo,4,berline,avant,devant,2.45,4.38,1.66,1.31,1.2,ACT,4,1803.0,injection D monopoint,3.17,3.46,7.5,116,5500,10.226721,7.840486100000001,9279.0,mitsubishi,outlander
88,89,-1,gas,standard,4,berline,avant,devant,2.45,4.38,1.66,1.31,1.2,ACT,4,1803.0,injection D monopoint,3.17,3.46,7.5,116,5500,10.226721,7.840486100000001,9279.0,mitsubishi,mirage g4
89,90,1,gas,standard,2,berline,avant,devant,2.4,4.2,1.62,1.38,0.94,ACT,4,1590.0,carburateur 2 corps,3.15,3.29,9.4,69,5200,7.587567193548387,6.357150891891892,5499.0,nissan,versa
90,91,1,diesel,standard,2,berline,avant,devant,2.4,4.2,1.62,1.38,1.01,ACT,4,1688.0,injection indirecte,2.99,3.47,21.9,55,4800,5.226990733333333,4.70429166,7099.0,nissan,gt-r
91,92,1,gas,standard,2,berline,avant,devant,2.4,4.2,1.62,1.38,0.96,ACT,4,1590.0,carburateur 2 corps,3.15,3.29,9.4,69,5200,7.587567193548387,6.357150891891892,6649.0,nissan,rogue
92,93,1,gas,standard,4,berline,avant,devant,2.4,4.2,1.62,1.38,0.97,ACT,4,1590.0,carburateur 2 corps,3.15,3.29,9.4,69,5200,7.587567193548387,6.357150891891892,6849.0,nissan,latio
93,94,1,gas,standard,4,break,avant,devant,2.4,4.32,1.62,1.36,1.01,ACT,4,1590.0,carburateur 2 corps,3.15,3.29,9.4,69,5200,7.587567193548387,6.357150891891892,7349.0,nissan,titan
94,95,1,gas,standard,2,berline,avant,devant,2.4,4.2,1.62,1.38,0.98,ACT,4,1590.0,carburateur 2 corps,3.15,3.29,9.4,69,5200,7.587567193548387,6.357150891891892,7299.0,nissan,leaf
95,96,1,gas,standard,2,hayon,avant,devant,2.4,4.21,1.62,1.35,1.01,ACT,4,1590.0,carburateur 2 corps,3.15,3.29,9.4,69,5200,7.587567193548387,6.357150891891892,7799.0,nissan,juke
96,97,1,gas,standard,4,berline,avant,devant,2.4,4.2,1.62,1.38,0.99,ACT,4,1590.0,carburateur 2 corps,3.15,3.29,9.4,69,5200,7.587567193548387,6.357150891891892,7499.0,nissan,latio
97,98,1,gas,standard,4,break,avant,devant,2.4,4.32,1.62,1.36,1.02,ACT,4,1590.0,carburateur 2 corps,3.15,3.29,9.4,69,5200,7.587567193548387,6.357150891891892,7999.0,nissan,note
98,99,2,gas,standard,2,coupe,avant,devant,2.42,4.12,1.62,1.35,1.0,ACT,4,1590.0,carburateur 2 corps,3.15,3.29,9.4,69,5200,7.587567193548387,6.357150891891892,8249.0,nissan,clipper
99,100,0,gas,standard,4,hayon,avant,devant,2.47,4.4,1.66,1.39,1.16,ACT,4,1966.0,carburateur 2 corps,3.33,3.47,8.5,97,5200,8.711651222222223,6.9180759705882355,8949.0,nissan,rogue
100,101,0,gas,standard,4,berline,avant,devant,2.47,4.4,1.66,1.39,1.15,ACT,4,1966.0,carburateur 2 corps,3.33,3.47,8.5,97,5200,8.711651222222223,6.9180759705882355,9549.0,nissan,nv200
101,102,0,gas,standard,4,berline,avant,devant,2.55,4.62,1.69,1.4,1.55,soupapes en tête à manchon,6,2966.0,injection multipoint multipoint port unique,3.43,3.27,9.0,152,5200,13.836151941176471,10.691571954545454,13499.0,nissan,dayz
102,103,0,gas,standard,4,break,avant,devant,2.55,4.69,1.69,1.42,1.65,soupapes en tête à manchon,6,2966.0,injection multipoint multipoint port unique,3.43,3.27,9.0,152,5200,13.836151941176471,10.691571954545454,14399.0,nissan,fuga
103,104,0,gas,standard,4,berline,avant,devant,2.55,4.69,1.69,1.4,1.53,soupapes en tête à manchon,6,2966.0,injection multipoint multipoint port unique,3.43,3.27,9.0,152,5200,12.379714894736843,9.40858332,13499.0,nissan,otti
104,105,3,gas,standard,2,hayon,arriere,devant,2.32,4.34,1.72,1.26,1.54,soupapes en tête à manchon,6,2966.0,injection multipoint multipoint port unique,3.43,3.27,9.0,160,5200,12.379714894736843,9.40858332,17199.0,nissan,teana
105,106,3,gas,turbo,2,hayon,arriere,devant,2.32,4.34,1.72,1.26,1.57,soupapes en tête à manchon,6,2966.0,injection multipoint multipoint port unique,3.43,3.27,7.8,200,5200,13.836151941176471,10.226721,19699.0,nissan,kicks
106,107,1,gas,standard,2,hayon,arriere,devant,2.52,4.53,1.72,1.26,1.57,soupapes en tête à manchon,6,2966.0,injection multipoint multipoint port unique,3.43,3.27,9.0,160,5200,12.379714894736843,9.40858332,18399.0,nissan,clipper
107,108,0,gas,standard,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.51,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,3.19,8.4,97,5000,12.379714894736843,9.800607625,11900.0,peugeot,504
108,109,0,diesel,turbo,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.6,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,8.400520821428572,7.127714636363637,13200.0,peugeot,304
109,110,0,gas,standard,4,break,arriere,devant,2.9,5.05,1.74,1.49,1.62,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,3.19,8.4,97,5000,12.379714894736843,9.800607625,12440.0,peugeot,504 (sw)
110,111,0,diesel,turbo,4,break,arriere,devant,2.9,5.05,1.74,1.49,1.72,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,9.40858332,9.40858332,13860.0,peugeot,504 turbo break
111,112,0,gas,standard,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.54,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,2.19,8.4,95,5000,12.379714894736843,9.800607625,15580.0,peugeot,504 gas 95ch
112,113,0,diesel,turbo,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.63,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,8.400520821428572,7.127714636363637,16900.0,peugeot,604sl
113,114,0,gas,standard,4,break,arriere,devant,2.9,5.05,1.74,1.44,1.64,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,2.19,8.4,95,5000,12.379714894736843,9.800607625,16695.0,peugeot,504 essence break
114,115,0,diesel,turbo,4,break,arriere,devant,2.9,5.05,1.74,1.49,1.74,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,9.40858332,9.40858332,17075.0,peugeot,505s turbo diesel
115,116,0,gas,standard,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.54,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,3.19,8.4,97,5000,12.379714894736843,9.800607625,16630.0,peugeot,504 gas 97ch
116,117,0,diesel,turbo,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.63,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,8.400520821428572,7.127714636363637,17950.0,peugeot,504 turbo
117,118,0,gas,turbo,4,berline,arriere,devant,2.74,4.74,1.73,1.42,1.56,ligne des cylindres,4,2196.0,injection multipoint multipoint port unique,3.61,3.21,7.0,142,5600,13.067476833333334,9.800607625,18150.0,peugeot,604sl
118,119,1,gas,standard,2,hayon,avant,devant,2.38,4.0,1.62,1.29,0.96,ACT,4,1475.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,6.357150891891892,5.736941048780488,5572.0,plymouth,fury iii
119,120,1,gas,turbo,2,hayon,avant,devant,2.38,4.0,1.62,1.29,1.06,ACT,4,1606.0,injection D monopoint,3.03,3.39,7.6,102,5500,9.800607625,7.840486100000001,7957.0,plymouth,cricket
